Series_2_5
Sweep_2_5_5,  5.021474720E+04, 13:56:54.747, 2020/02/26 13:56:50.717, "YLP"
"Index", "Time[s]"       , "V-mon[V]"      
      0,  0.000000000E+00, -6.746874750E-02
      1,  5.000000000E-05, -6.743749976E-02
      2,  1.000000000E-04, -6.750000268E-02
      3,  1.500000000E-04, -6.746874750E-02
      4,  2.000000000E-04, -6.743749976E-02
      5,  2.500000000E-04, -6.746874750E-02
      6,  3.000000000E-04, -6.750000268E-02
      7,  3.500000000E-04, -6.746874750E-02
      8,  4.000000000E-04, -6.762500107E-02
      9,  4.500000000E-04, -6.746874750E-02
     10,  5.000000000E-04, -6.746874750E-02
     11,  5.500000000E-04, -6.743749976E-02
     12,  6.000000000E-04, -6.743749976E-02
     13,  6.500000000E-04, -6.746874750E-02
     14,  7.000000000E-04, -6.750000268E-02
     15,  7.500000000E-04, -6.753125042E-02
     16,  8.000000000E-04, -6.750000268E-02
     17,  8.500000000E-04, -6.743749976E-02
     18,  9.000000000E-04, -6.743749976E-02
     19,  9.500000000E-04, -6.759375334E-02
     20,  1.000000000E-03, -6.746874750E-02
     21,  1.050000000E-03, -6.740625203E-02
     22,  1.100000000E-03, -6.746874750E-02
     23,  1.150000000E-03, -6.753125042E-02
     24,  1.200000000E-03, -6.750000268E-02
     25,  1.250000000E-03, -6.753125042E-02
     26,  1.300000000E-03, -6.753125042E-02
     27,  1.350000000E-03, -6.746874750E-02
     28,  1.400000000E-03, -6.750000268E-02
     29,  1.450000000E-03, -6.759375334E-02
     30,  1.500000000E-03, -6.753125042E-02
     31,  1.550000000E-03, -6.740625203E-02
     32,  1.600000000E-03, -6.743749976E-02
     33,  1.650000000E-03, -6.753125042E-02
     34,  1.700000000E-03, -6.756249815E-02
     35,  1.750000000E-03, -6.753125042E-02
     36,  1.800000000E-03, -6.753125042E-02
     37,  1.850000000E-03, -6.746874750E-02
     38,  1.900000000E-03, -6.746874750E-02
     39,  1.950000000E-03, -6.753125042E-02
     40,  2.000000000E-03, -6.750000268E-02
     41,  2.050000000E-03, -6.746874750E-02
     42,  2.100000000E-03, -6.756249815E-02
     43,  2.150000000E-03, -6.746874750E-02
     44,  2.200000000E-03, -6.750000268E-02
     45,  2.250000000E-03, -6.750000268E-02
     46,  2.300000000E-03, -6.753125042E-02
     47,  2.350000000E-03, -6.753125042E-02
     48,  2.400000000E-03, -6.743749976E-02
     49,  2.450000000E-03, -6.746874750E-02
     50,  2.500000000E-03, -6.750000268E-02
     51,  2.550000000E-03, -6.753125042E-02
     52,  2.600000000E-03, -6.746874750E-02
     53,  2.650000000E-03, -6.746874750E-02
     54,  2.700000000E-03, -6.756249815E-02
     55,  2.750000000E-03, -6.750000268E-02
     56,  2.800000000E-03, -6.753125042E-02
     57,  2.850000000E-03, -6.740625203E-02
     58,  2.900000000E-03, -6.740625203E-02
     59,  2.950000000E-03, -6.743749976E-02
     60,  3.000000000E-03, -6.746874750E-02
     61,  3.050000000E-03, -6.750000268E-02
     62,  3.100000000E-03, -6.740625203E-02
     63,  3.150000000E-03, -6.753125042E-02
     64,  3.200000000E-03, -6.750000268E-02
     65,  3.250000000E-03, -6.737499684E-02
     66,  3.300000000E-03, -6.740625203E-02
     67,  3.350000000E-03, -6.750000268E-02
     68,  3.400000000E-03, -6.756249815E-02
     69,  3.450000000E-03, -6.746874750E-02
     70,  3.500000000E-03, -6.746874750E-02
     71,  3.550000000E-03, -6.756249815E-02
     72,  3.600000000E-03, -6.750000268E-02
